Secret length (bytes): 17
Shares (x, y, mod):
(1, 119851754009690660916, 144617414729854976017)
(2, 37991115101738800321, 144617414729854976027)
(3, 69163871120902756702, 144617414729854976017)
(4, 69544837930006065004, 144617414729854976027)
(5, 76659971158768438387, 144617414729854976017)
(6, 43868527434343164463, 144617414729854976027)
(7, 115595609094483204434, 144617414729854976017)
(8, 3210196247551954359, 144617414729854976027)
(9, 143590095238310798554, 144617414729854976017)
(10, 137009597012602961873, 144617414729854976027)
(11, 127577839959426928703, 144617414729854976017)
(12, 14575911154724053845, 144617414729854976027)
(13, 102924801761451620259, 144617414729854976017)
(14, 88523782506687773742, 144617414729854976027)
(15, 43163861931617331069, 144617414729854976017)
